Ship,Date,country,shiptype,captain_name
zuivnu,26-08-1871,United Kingdom (UK),Bulk Carrier,Mothallah
wtzvgy,05-07-1513,New Zealand,Bulk Carrier,Polis
irvswr,08-06-1685,United States (USA),Crude Oil Tanker,Nahn
mzchnx,13-05-1575,Iceland,Container Ship,Algol
xjyxjp,02-04-1569,Turkey,Bulk Carrier,Cor Caroli
xncdfk,29-07-1865,United States (USA),Container Ship,Denebola
lrtmqj,19-01-1977,Italy,LNG Tanker,Albireo
agedow,14-08-1940,Egypt,Passenger (Cruise) Ship,Asellus Borealis
pvqdvq,25-03-1588,United Kingdom (UK),LNG Tanker,Mintaka
fqamas,25-06-1847,Panama,Container Ship,Alrescha
olqygd,07-09-1801,Spain,Bulk Carrier,Unurgunite
gvxbbc,12-04-1774,Japan,Container Ship,Tiaki
fmyypm,27-12-1748,Canada,Crude Oil Tanker,Hamal
vrvrsf,08-11-1549,Egypt,Bulk Carrier,Arneb
httyaf,06-11-1786,Nicaragua,Crude Oil Tanker,Elnath
roclaw,11-01-2009,United States (USA),LNG Tanker,Algenib
tdmjjc,23-11-1933,Iceland,Bulk Carrier,Terebellum
jeedzd,02-08-2002,Russia,LNG Tanker,Alphecca
kvxicv,23-10-1567,Germany,Bulk Carrier,Alrescha
iyujam,06-05-1721,France,LNG Tanker,Tania Borealis
tgtvxg,25-01-1858,China,Crude Oil Tanker,Rigil Kentaurus
vggvga,15-04-1521,Japan,Bulk Carrier,Propus
mqzzak,13-12-1555,Iceland,Container Ship,Gacrux
zaxmoh,19-10-1804,Estonia,Bulk Carrier,Procyon
vnmtid,14-02-1647,Spain,Crude Oil Tanker,Regulus
gmqkyt,26-06-1674,US Minor Outlying Isls,Bulk Carrier,Ancha
eskqgg,25-11-1648,Panama,Bulk Carrier,Sualocin
bgorkz,21-05-1759,Finland,Bulk Carrier,Zaniah
nathnt,14-03-1654,Faeroe Islands,Container Ship,Mothallah
ozgaxx,16-04-1924,United Kingdom (UK),Crude Oil Tanker,Elnath
hcaefo,15-12-1648,United Kingdom (UK),LNG Tanker,Fomalhaut
pilios,11-05-1636,Brazil,LNG Tanker,Kaffaljidhma
dpreei,06-12-1796,Iceland,Bulk Carrier,Mothallah
unbiuq,15-07-1833,Norway,Crude Oil Tanker,Saiph
ftuahc,24-05-1731,Japan,Crude Oil Tanker,Dubhe
hnnzbo,19-03-1587,Russia,Offshore Support Vessel,Tejat
ufdnzc,12-10-1543,United Kingdom (UK),Container Ship,Chertan
bdlkde,27-06-2008,Indonesia,Container Ship,Fang
mqquye,04-12-1640,United States (USA),LNG Tanker,Mothallah
uoqnag,13-03-1771,Belgium,Passenger (Cruise) Ship,Intercrus
buhyye,17-05-1549,Norway,Crude Oil Tanker,Polaris
ujalbt,05-11-1633,Japan,Container Ship,Sadalbari
rqolkn,27-05-1915,Sweden,Bulk Carrier,Musica
gviajz,08-12-1600,France,Container Ship,Kaus Australis
pwfilt,20-08-1786,Japan,Bulk Carrier,Beid
zdqbrw,24-05-1828,Japan,Bulk Carrier,Fumalsamakah
qtwuuz,10-06-1755,Portugal,Container Ship,Alzirr
cyqxhb,26-07-1515,Mexico,Container Ship,Wurren
ammigs,04-01-1618,Japan,Container Ship,Mimosa
ucqaxg,12-02-1866,Estonia,Crude Oil Tanker,Polaris
zqlkpx,02-01-1585,Cyprus,Bulk Carrier,Yildun
ynvtbx,09-02-1723,Denmark,Bulk Carrier,Miaplacidus
nkohut,11-06-1919,China,LNG Tanker,Alnasl
uhhkuw,03-06-1958,Japan,Crude Oil Tanker,Meleph
iseert,16-05-1561,United States (USA),Container Ship,Okab
xncdfk,30-03-1694,Japan,Container Ship,Unurgunite
jefuxj,24-09-1816,Italy,Bulk Carrier,Mirzam
fpofpm,01-05-1725,Panama,Bulk Carrier,Nunki
chgwsj,04-12-1847,Japan,Bulk Carrier,Cor Caroli
xunqom,28-07-1660,Iceland,Bulk Carrier,Khambalia
owfmbp,02-10-1975,United Kingdom (UK),LNG Tanker,Muscida
dbhzzq,04-10-1734,United States (USA),Bulk Carrier,Baten Kaitos
lgjmji,15-05-1552,Dominican Rep,Bulk Carrier,Xamidimura
gilrue,03-05-1529,Sweden,LNG Tanker,Kraz
bwvnll,21-12-1755,Philippines,Crude Oil Tanker,Alsciaukat
hnibqp,23-11-1581,Canada,Crude Oil Tanker,Muscida
xthoaf,16-01-1578,Belgium,Bulk Carrier,Ruchbah
khkntj,18-09-1826,Japan,Passenger (Cruise) Ship,Alkaid
dhhewg,05-04-1654,Faeroe Islands,Container Ship,Gienah
evctvx,22-10-1812,Guadeloupe,Container Ship,Larawag
wjcvbg,02-05-1796,Japan,Bulk Carrier,Capella
iyrebt,28-02-1682,Dominican Rep,Crude Oil Tanker,Angetenar
gdfpon,09-04-1817,United States (USA),LNG Tanker,Schedar
jefuxj,05-11-1560,Aruba,Bulk Carrier,Paikauhale
qktfew,10-11-1893,Croatia,Container Ship,Porrima
vpameb,03-03-1999,Argentina,Bulk Carrier,Nihal
pogobo,21-08-1778,Sweden,Bulk Carrier,Nashira
ecownn,13-05-1580,United States (USA),Crude Oil Tanker,Zavijava
sdptfk,14-05-1606,Sweden,Bulk Carrier,Fang
lrjgpj,03-04-1743,Brazil,Bulk Carrier,Gomeisa
hkpktz,01-10-1753,Croatia,Bulk Carrier,Sham
nryscd,07-07-1615,Panama,Bulk Carrier,Grumium
otksqg,15-06-1642,Norway,Passenger (Cruise) Ship,Nembus
wmxhwr,04-07-1644,Malaysia,Bulk Carrier,Tiaki
kgngqr,16-10-1811,Greece,Container Ship,Alula Borealis
cqmngm,04-08-1853,China,LNG Tanker,Betelgeuse
igdsmk,02-07-1756,Japan,Crude Oil Tanker,Rotanev
vgiejh,04-10-1869,Cyprus,LNG Tanker,Alula Borealis
rnkcdp,25-12-1829,Germany,LNG Tanker,Rasalgethi
yfeghj,17-08-1952,Greece,Container Ship,Praecipua
mttkcp,25-11-1648,Spain,LNG Tanker,Alchiba
mqzzak,21-12-1852,United Kingdom (UK),Bulk Carrier,Fulu
vyaplc,10-08-1640,Croatia,Crude Oil Tanker,Alsephina
tqpzlc,20-06-1539,Dominican Rep,Passenger (Cruise) Ship,Praecipua
udwrnb,23-01-1643,Greece,LNG Tanker,Jabbah
xbynop,18-05-1586,Slovenia,Bulk Carrier,Denebola
uokzoc,21-08-1778,France,Bulk Carrier,Nihal
aykewn,17-03-1930,Slovenia,LNG Tanker,Hamal
rnoocp,08-12-1702,United States (USA),Crude Oil Tanker,Ankaa
azxmdp,13-07-1969,Argentina,Crude Oil Tanker,Suhail
mhaols,29-01-1860,Greece,Container Ship,Cujam
xzkqzh,05-01-1875,Denmark,Bulk Carrier,Pleione
kzhczu,28-10-1672,United Kingdom (UK),Crude Oil Tanker,Hadar
vdcauv,07-08-1732,Canada,Container Ship,Suhail
kpkvoa,11-11-1535,Brazil,Bulk Carrier,Alkaid
ygngra,28-04-1843,Canada,Bulk Carrier,Phact
hdrhqd,27-04-1672,Angola,LNG Tanker,Deneb Algedi
ouuaxc,01-11-1703,Greece,Bulk Carrier,Musica
ulzbhf,18-04-1599,Panama,Crude Oil Tanker,Spica
oilgqy,01-02-1620,Italy,Passenger (Cruise) Ship,Sadr
giaqgy,18-12-1774,Japan,LNG Tanker,Peacock
zojkns,10-03-1602,Sweden,Container Ship,Mirzam
cmmajn,24-03-1820,Korea,Container Ship,Musica
jaihrs,27-07-1856,Finland,Bulk Carrier,Alshat
udbkmy,24-05-1828,Spain,Bulk Carrier,Megrez
jqjtrc,23-06-1608,Japan,LNG Tanker,Hassaleh
xqbxjo,11-09-1521,United Kingdom (UK),Crude Oil Tanker,Arcturus
rsblfe,27-08-1847,United Kingdom (UK),Passenger (Cruise) Ship,Syrma
kgqecl,28-09-1988,United States (USA),Bulk Carrier,Alhena
mrcbkn,23-11-1613,Turkey,Passenger (Cruise) Ship,Enif
cwqqdt,05-12-1636,Iceland,Container Ship,Capella
dvuphd,04-08-1966,St Vincent & Grenadines,Passenger (Cruise) Ship,Fuyue
fifidx,05-03-1772,New Zealand,FSO,Wasat
xunyrn,20-03-1901,Norway,Bulk Carrier,Unurgunite
ductrx,09-01-1873,Papua New Guinea,LNG Tanker,Alrakis
taxptg,29-09-1702,Puerto Rico,Container Ship,Dziban
ldnfad,02-06-1729,Slovenia,LNG Tanker,Ruchbah
dfmhne,11-10-1951,Canada,Bulk Carrier,Adhil
aijkhi,04-08-1620,United States (USA),FSO,Zubenelgenubi
kfnesc,17-05-1511,Russia,LNG Tanker,Mirfak
rvzbsv,03-04-1986,Iceland,LNG Tanker,Sadalsuud
jcctsd,23-10-2009,Poland,Crude Oil Tanker,Brachium
hcaefo,26-12-1935,Angola,Crude Oil Tanker,Adhafera
gkllwj,13-03-1936,United Kingdom (UK),Crude Oil Tanker,Tonatiuh
cpjkxp,13-04-2005,Canada,Bulk Carrier,Furud
nzifbq,04-10-1820,Panama,LNG Tanker,Aldhanab
qkwgmy,25-08-1609,Norway,Container Ship,Asterope
ouddwj,21-12-1668,Brazil,LNG Tanker,Rigil Kentaurus
sbmxvm,29-01-1509,Netherlands,Bulk Carrier,Gienah
lvmtlz,01-03-2008,Panama,Passenger (Cruise) Ship,Zibal
vfmeki,21-06-1928,Japan,Container Ship,Segin
luihtr,13-07-1789,Japan,Container Ship,Nusakan
iflncb,20-01-1719,Italy,Passenger (Cruise) Ship,Mizar
jkhtls,05-10-1643,Australia,Offshore Support Vessel,Edasich
jdpiln,24-06-1913,Brazil,Bulk Carrier,Skat
msfqyq,12-02-1560,India,Container Ship,Piautos
dcejvr,09-05-1569,United Kingdom (UK),Bulk Carrier,Diadem
gbizks,21-11-1578,United States (USA),Bulk Carrier,Kaus Australis
hgcsog,09-02-1688,Chile,Crude Oil Tanker,Yildun
tshejb,21-01-1762,Brazil,Bulk Carrier,Yed Posterior
zfnmdd,16-11-1734,Cuba,LNG Tanker,Yed Prior
dgqauy,20-10-1527,Sweden,LNG Tanker,Regulus
douyxp,19-10-1595,Japan,LNG Tanker,Alterf
qoylqe,19-08-1917,Sweden,Crude Oil Tanker,Talitha
notsei,09-05-2001,Japan,LNG Tanker,Yed Prior
jsclqw,07-08-1705,United Kingdom (UK),Container Ship,Castor
ntvwki,09-04-1867,India,Passenger (Cruise) Ship,Mizar
nppkeu,27-02-1667,United States (USA),Crude Oil Tanker,Nusakan
wxuknt,02-04-1815,Turkmenistan,LNG Tanker,Copernicus
opkkth,13-09-1692,United States (USA),Bulk Carrier,Izar
qtuegy,23-10-1714,China,Bulk Carrier,Athebyne
mdrfyp,08-05-1713,Italy,LNG Tanker,Gudja
vifbzl,10-06-1712,Canada,Bulk Carrier,Miram
vavvbr,09-02-1610,Vietnam,Bulk Carrier,Mirach
rioeqn,21-09-1739,Finland,Crude Oil Tanker,Beid
waaiuc,25-08-1741,Norway,Bulk Carrier,Fulu
ggpziw,05-01-1536,Norway,Crude Oil Tanker,Peacock
oxhdlu,12-05-1731,Iceland,Container Ship,Azmidi
sxdicg,24-10-1911,Qatar,Bulk Carrier,Anser
vqyxiz,07-10-1768,United States (USA),Container Ship,Tureis
rsnfcx,08-02-1697,Turkey,Bulk Carrier,Tania Australis
gwjdmd,23-04-1751,United States (USA),Crude Oil Tanker,Unurgunite
yvtiwr,13-01-1563,Italy,Crude Oil Tanker,Nashira
jotpzj,08-08-1833,Canada,Container Ship,Spica
ivrssi,02-11-1514,United States (USA),Passenger (Cruise) Ship,Elgafar
rfbumk,08-11-1588,Russia,Bulk Carrier,Chamukuy
bptmxl,28-10-1969,United Kingdom (UK),LNG Tanker,Gienah
usjbsf,18-07-1755,Norway,Container Ship,Mothallah
dpreei,09-03-1507,Japan,Bulk Carrier,Maasym
wdjqej,01-12-1759,Norway,Container Ship,Bharani
kpujfg,31-08-1732,Germany,Bulk Carrier,Baten Kaitos
ghksip,02-01-1651,Spain,Crude Oil Tanker,Schedar
nkhqiy,31-03-1715,United States (USA),Crude Oil Tanker,Alkalurops
wrrmhl,16-11-1736,Philippines,Crude Oil Tanker,Salm
xjtsbp,30-01-1801,Qatar,Bulk Carrier,Ruchbah
pegpac,04-12-1640,Egypt,Crude Oil Tanker,Alya
rrfayv,03-10-1862,United States (USA),Container Ship,Alsafi
szavrh,20-01-1719,Argentina,Container Ship,Castor
uqpsdk,17-07-1503,Panama,LNG Tanker,Fawaris
gbvlez,25-11-1602,Canada,Container Ship,Bunda
hzzoyy,22-02-1861,United Kingdom (UK),Container Ship,Beid
nbfqqi,27-02-1622,United States (USA),Bulk Carrier,Caph
jcbkpa,21-03-1613,Portugal,Bulk Carrier,Alzirr
ziwbiz,23-06-1892,India,Crude Oil Tanker,Skat
gyjhhu,04-07-1933,Portugal,Bulk Carrier,Hamal
erkkjf,20-06-1508,Sao Tome & Principe,Container Ship,Sadachbia
wzlusf,20-06-1943,Indonesia,LNG Tanker,Baten Kaitos
xthbsf,06-08-1812,Iran,Container Ship,Alkarab
fucgna,24-01-1987,Nauru,Bulk Carrier,Nekkar
uwbuwq,09-03-1976,Russia,Bulk Carrier,Nembus
eefnnr,12-01-1956,Portugal,Container Ship,Alchiba
xptmsa,03-12-1870,United Kingdom (UK),Container Ship,Nusakan
gmwyiw,24-11-1977,United States (USA),Bulk Carrier,Adhil
lwjptd,26-11-1832,Croatia,Bulk Carrier,Fawaris
omubse,30-06-1945,Norway,Crude Oil Tanker,Zubenelhakrabi
byvdvs,18-06-1672,China,LNG Tanker,Wezen
ndenwk,09-01-1707,Canada,Bulk Carrier,Mira
btlxtb,22-12-1536,Estonia,Passenger (Cruise) Ship,Menkent
hmajlh,28-01-1875,Sweden,Container Ship,Minchir
yrooti,29-11-2007,Malaysia,Container Ship,Sadalsuud
psqeju,07-02-1818,United Kingdom (UK),Bulk Carrier,Pherkad
awqzaa,18-08-1532,New Caledonia,Container Ship,Altais
adpayh,21-11-1759,Canada,LNG Tanker,Ankaa
tuydhq,25-06-1525,Russia,Bulk Carrier,Arcturus
ppgzbj,05-02-1828,France,Crude Oil Tanker,Subra
wbistw,07-02-1830,Puerto Rico,Bulk Carrier,Ascella
grhjfn,02-04-1688,Italy,Bulk Carrier,Phecda
rmqqmt,25-10-1856,Slovenia,Container Ship,Albali
izemve,25-07-1536,Russia,Crude Oil Tanker,Izar
cvvmfl,18-04-1694,Netherlands,Bulk Carrier,Meissa
nteyam,26-02-1871,Germany,Crude Oil Tanker,Arneb
ufwqnc,22-05-1841,United States (USA),Container Ship,Brachium
rybuum,31-12-1864,Canada,Crude Oil Tanker,Menkar
cbksgj,10-07-1534,Spain,LNG Tanker,Elnath
jaaipq,16-03-1601,Estonia,Container Ship,Beid
pwuzid,12-12-1947,Canada,Container Ship,Diphda
rgwpmc,11-01-2009,India,Bulk Carrier,Hassaleh
nycrwy,30-12-1619,United States (USA),Bulk Carrier,Taygeta
gzdocl,01-02-1809,Portugal,Bulk Carrier,Mirzam
abdqlj,05-04-1654,Spain,Container Ship,Acamar
qyfhle,21-09-1597,Netherlands,Container Ship,Yildun
xogvvz,03-08-1979,Greece,Bulk Carrier,Tianguan
qiwvws,27-03-1600,Turkey,Crude Oil Tanker,Yildun
aytmyz,31-05-1898,Poland,Crude Oil Tanker,Unurgunite
hjrlht,03-01-1972,Germany,Bulk Carrier,Libertas
vwsenn,24-05-1871,Turkey,LNG Tanker,Aldhibah
dpfgoc,05-09-1622,Spain,LNG Tanker,Elnath
ggafqc,31-12-1833,Sweden,Bulk Carrier,Mirfak
fqhzkn,10-12-1536,Canada,Container Ship,Scheat
wfiegj,11-04-1866,Japan,LNG Tanker,Ogma
hvdzhs,27-08-1847,Netherlands,Crude Oil Tanker,Fawaris
wnusyo,13-09-1537,Croatia,LNG Tanker,Nunki
zcqtxc,26-10-1620,Canada,Bulk Carrier,Taygeta
pwakwo,17-03-1653,Papua New Guinea,Container Ship,Sulafat
pnwjwj,04-10-1577,Spain,Crude Oil Tanker,Kitalpha
nhndzd,05-05-1987,Malaysia,Bulk Carrier,Shaula
vwxium,14-06-1584,United States (USA),Crude Oil Tanker,Subra
ahwwrx,19-01-1977,Puerto Rico,Container Ship,Acubens
hpkzll,13-07-1969,Latvia,Container Ship,Aspidiske
exsxjo,19-11-1980,Aruba,Container Ship,Ginan
hhfafy,26-04-1584,Egypt,Passenger (Cruise) Ship,Wasat
kfnawq,15-09-1675,Canada,Container Ship,Elkurud
bsxdnc,02-04-1564,Estonia,Crude Oil Tanker,Azmidi
svvnog,27-05-1500,Japan,Bulk Carrier,Barnard’s Star
elbizv,16-03-1774,Iran,Bulk Carrier,Furud
tgpfwq,20-07-1782,Japan,Passenger (Cruise) Ship,Grumium
svwgqm,15-12-2002,Russia,Bulk Carrier,Wasat
ktirxz,23-01-1945,Canada,Bulk Carrier,Arneb
jndeaj,14-02-1786,Egypt,Crude Oil Tanker,Errai
qgblcx,26-02-1721,South Africa,Bulk Carrier,Keid
odiurt,22-05-1667,United States (USA),Bulk Carrier,Tarazed
uevuca,24-02-1677,Puerto Rico,Crude Oil Tanker,Alkaphrah
zxuxlm,23-03-1848,Japan,LNG Tanker,Ain
ftodkq,25-04-1599,United States (USA),Container Ship,Gomeisa
kmvhia,22-04-1855,Sweden,Bulk Carrier,Zubenelgenubi
beeovb,16-01-1939,Madagascar,Bulk Carrier,Azmidi
izemve,10-08-1906,Montenegro,Container Ship,Unukalhai
wgdpzj,20-03-1991,Norway,Container Ship,Torcular
ksznwv,28-09-1529,Sweden,Container Ship,Sabik
gajntm,18-12-1774,Japan,Container Ship,Sargas
aijkhi,05-10-1919,Belgium,Crude Oil Tanker,Achernar
fstche,11-06-1694,Spain,Crude Oil Tanker,Alnair
ofnrrm,12-09-1844,Greece,Bulk Carrier,Larawag
qedter,11-06-1904,Norway,LNG Tanker,Taygeta
sfxfir,01-06-1930,Papua New Guinea,Crude Oil Tanker,Tarf
aeojwc,14-02-1842,Malaysia,Crude Oil Tanker,Betelgeuse
ivgzsz,09-02-1808,Russia,Bulk Carrier,Salm
bzczeh,10-08-1906,Greece,Passenger (Cruise) Ship,Ukdah
ncirwn,04-07-1663,Japan,Crude Oil Tanker,Deneb Algedi
zsszny,30-04-1795,Germany,Bulk Carrier,Albali
vkejhi,30-03-1508,Bulgaria,Passenger (Cruise) Ship,Alrakis
nebqxs,09-09-1797,Sweden,Bulk Carrier,Fuyue
wkkzzb,31-07-1571,Sweden,Bulk Carrier,Megrez
xgyeay,24-04-1960,Sweden,Container Ship,Alpheratz
wwoifx,20-03-1827,Kuwait,Bulk Carrier,Cujam
mesrcf,21-01-1985,Sweden,LNG Tanker,Ascella
errvob,07-05-1590,Turkey,Crude Oil Tanker,Minchir
gymmjf,11-08-1528,Japan,LNG Tanker,Scheat
hkpktz,08-01-1954,India,Container Ship,Ascella
dtzzjq,14-02-1622,Japan,Bulk Carrier,Salm
tlxjtm,06-09-1727,United Kingdom (UK),Bulk Carrier,Proxima Centauri
zkvanq,14-11-1882,United Kingdom (UK),Passenger (Cruise) Ship,Libertas
bqdlzt,13-12-1593,United States (USA),Container Ship,Sheratan
aarwwr,27-02-1633,Panama,Crude Oil Tanker,Alphecca
ciqhpw,12-05-1616,United Kingdom (UK),Passenger (Cruise) Ship,Caph
tyozlk,21-06-1566,Nicaragua,Bulk Carrier,Terebellum
gcrifj,03-03-1931,United States (USA),LNG Tanker,Acrux
yvnxwd,11-03-1861,Brazil,Container Ship,Almach
mgwjbw,22-03-1642,Chile,Container Ship,Skat
bhchfi,15-09-1856,Panama,Bulk Carrier,Xamidimura
dqmybf,14-06-1584,Korea,Bulk Carrier,Arneb
igngsr,10-11-1693,United Kingdom (UK),Bulk Carrier,Jishui
rjucil,20-11-1956,Puerto Rico,LNG Tanker,Marsic
jefuxj,13-12-1647,Togolese Rep,Bulk Carrier,Aldebaran
xxjdrf,12-07-1503,Canada,Crude Oil Tanker,Felis
pzdija,03-12-1604,Tunisia,Container Ship,Menkar
jidrzl,27-02-1803,Japan,Container Ship,Fulu
jqdyjr,16-09-1620,India,Crude Oil Tanker,Tania Australis
veahxp,26-08-1944,Nicaragua,Container Ship,Dschubba
ldkabc,02-06-1628,Norway,Bulk Carrier,Albaldah
fxocjq,20-04-1577,United States (USA),Crude Oil Tanker,Pipirima
dekmqb,20-06-1676,Greece,Container Ship,Toliman
hiczdh,25-02-1744,Canada,Bulk Carrier,Alsafi
gnqbaf,15-05-1808,India,LNG Tanker,Situla
iaxvga,25-06-1555,Norway,Passenger (Cruise) Ship,Alzirr
ygnxhn,08-11-1811,New Zealand,Bulk Carrier,Nunki
ulzbhf,16-12-1938,Fiji,Crude Oil Tanker,Acrux
xomlkn,16-03-1920,Malaysia,Container Ship,Zubenelgenubi
qxwkld,17-05-1619,Netherlands,Container Ship,Achird
kqeuln,19-06-1783,Japan,Crude Oil Tanker,Celaeno
ekokec,27-09-1682,United States (USA),Container Ship,Caph
vlkngh,13-05-1911,Russia,Bulk Carrier,Kaffaljidhma
lfmlzl,16-12-1809,China,Bulk Carrier,Kurhah
etfpyh,15-07-1951,United Kingdom (UK),Bulk Carrier,Cor Caroli
ppynvs,08-08-1771,United States (USA),Bulk Carrier,Almach
dbbtvf,10-04-1898,Malaysia,Container Ship,Fang
nmaegw,21-10-1733,US Minor Outlying Isls,Crude Oil Tanker,Tonatiuh
xnymvi,18-01-1772,Norway,Crude Oil Tanker,Merope
psyaop,16-08-1982,Norway,Bulk Carrier,Beemim
xdmxvn,19-04-1965,France,Passenger (Cruise) Ship,Cujam
tassys,14-06-1500,Spain,Crude Oil Tanker,Azha
rxsbyk,16-06-1722,Croatia,Bulk Carrier,Alpheratz
pbwsax,09-12-1782,Sweden,Crude Oil Tanker,Thuban
lqhkhw,30-08-1883,Bahamas,Crude Oil Tanker,Fang
nssvjp,07-11-1677,Canada,Crude Oil Tanker,Castula
mqzzak,10-12-1885,Japan,Crude Oil Tanker,Rasalgethi
ivxpju,24-09-1588,Spain,Container Ship,Cursa
txczxd,25-06-1878,Spain,Passenger (Cruise) Ship,Cursa
ddxoyf,11-06-1547,Italy,LNG Tanker,Tania Borealis
jqjtrc,28-03-1904,United Kingdom (UK),Crude Oil Tanker,Alula Borealis
oijfkq,17-07-1503,United Kingdom (UK),LNG Tanker,Wezen
flaokq,15-12-1943,United Kingdom (UK),Container Ship,Kaus Media
fuxvmm,04-04-2000,Italy,Crude Oil Tanker,Unurgunite
zsavai,11-10-1864,US Minor Outlying Isls,Bulk Carrier,Taygeta
zvgrtr,30-06-1503,Kuwait,LNG Tanker,Muliphein
srkygn,27-02-1633,Turkey,LNG Tanker,Ascella
urukwn,08-12-1766,France,Bulk Carrier,Zhang
iiuytl,20-11-1964,United Kingdom (UK),Container Ship,Rasalhague
mmlkrs,13-10-1822,Spain,Crude Oil Tanker,Alula Australis
weyscd,21-09-1851,United States (USA),LNG Tanker,Hatysa
xjqcjk,12-01-1694,Haiti,Container Ship,Ancha
udhtbo,12-02-1560,Japan,Container Ship,Hamal
ueptdr,11-07-1606,Madagascar,Bulk Carrier,Altais
xazhzc,28-03-1802,United States (USA),Bulk Carrier,Celaeno
uwhwti,15-02-1646,Sweden,Bulk Carrier,Larawag
ikmffr,29-12-1824,Mauritius,Container Ship,Ain
rrdjme,28-04-1995,Portugal,Container Ship,Syrma
rmaprv,04-03-1720,Norway,Crude Oil Tanker,Enif
zxhodo,19-12-1791,France,Bulk Carrier,Muphrid
ykdlsz,21-02-1839,Nauru,Crude Oil Tanker,Mothallah
hoqsto,06-09-1839,Iceland,Bulk Carrier,Alshain
untqwf,16-08-1910,Netherlands,Passenger (Cruise) Ship,Ain
zwstic,15-03-1616,Canada,Passenger (Cruise) Ship,Eltanin
bzczeh,01-12-1885,Norway,Bulk Carrier,Azelfafage
fqwoyc,06-01-1909,Mexico,Container Ship,Zosma
fdducj,29-11-1691,Canada,Bulk Carrier,Taiyangshou
sxdicg,14-07-1648,Croatia,Container Ship,Sheratan
noaxdn,16-04-1729,Canada,Crude Oil Tanker,Alhena
kjtftb,18-09-1913,Italy,Crude Oil Tanker,Alzirr
jnrepi,26-07-1754,Norway,Container Ship,Kaus Media
