Ship,Date,country,shiptype,captain_name
wxxyiu,30-12-1582,Argentina,LNG Tanker,Saclateni
jsclqw,10-12-1637,United States (USA),Crude Oil Tanker,Furud
otgixh,28-05-1892,Canada,Bulk Carrier,Maasym
bwbkwt,26-06-1732,Faeroe Islands,Bulk Carrier,Kaus Media
mmvaih,24-09-1753,Chile,Offshore Support Vessel,Jishui
nrqmsw,03-07-1973,New Zealand,LNG Tanker,Vindemiatrix
usgqkz,02-08-1796,France,Passenger (Cruise) Ship,Minelauva
cejtkw,22-08-1563,Denmark,Bulk Carrier,Rasalas
agddks,31-05-1551,Croatia,Crude Oil Tanker,Salm
tltffm,18-04-1927,China,LNG Tanker,Giausar
cwofcb,06-08-1812,Norway,Crude Oil Tanker,La Superba
umrwyi,22-12-1536,Norway,Bulk Carrier,Alnasl
devnua,11-07-1807,United Kingdom (UK),Bulk Carrier,Intercrus
onvmvk,30-01-1612,Japan,Crude Oil Tanker,Revati
wlkajq,19-08-1576,Faeroe Islands,Crude Oil Tanker,Elkurud
urukwn,16-10-1749,Iceland,LNG Tanker,Torcular
kzphik,13-10-1949,Finland,Bulk Carrier,Ashlesha
fzzvsy,21-08-1747,Finland,Crude Oil Tanker,Zaurak
pcsnzz,01-12-1639,Russia,Bulk Carrier,Tianguan
hjhruh,27-02-1537,Japan,Bulk Carrier,Alula Australis
dqewpj,15-04-1699,Tunisia,Container Ship,Meissa
mwkrgu,08-06-1760,Nauru,LNG Tanker,Cervantes
jbzthp,20-11-1640,Equatorial Guinea,Container Ship,Alderamin
tvjivq,16-10-1840,Denmark,Container Ship,Ogma
voloog,08-12-1671,Sweden,Container Ship,Acrab
dptvsc,18-02-1758,Fiji,Bulk Carrier,Nahn
cqnsll,01-03-1568,Australia,Crude Oil Tanker,Errai
indazz,14-11-1735,St Vincent & Grenadines,Bulk Carrier,Alphecca
jlykog,26-02-1558,Croatia,Bulk Carrier,Furud
lsienj,21-02-1914,United Kingdom (UK),Passenger (Cruise) Ship,Keid
hwsvgx,26-01-1668,Croatia,Container Ship,Alkalurops
yynptx,10-10-1645,United Kingdom (UK),Container Ship,Kraz
bpbrri,09-01-1893,Philippines,Crude Oil Tanker,Minchir
opvwnh,31-08-1657,Faeroe Islands,Crude Oil Tanker,Mesarthim
exxwdq,03-06-1628,Portugal,LNG Tanker,Sualocin
cgviwj,13-03-1709,Canada,Container Ship,Nembus
vzzrqz,29-08-1775,Japan,Bulk Carrier,Maasym
gtrhdh,16-09-1559,Finland,Crude Oil Tanker,Arkab Posterior
kmkucw,23-11-1692,Egypt,Container Ship,Aladfar
htarse,13-12-1555,Japan,LNG Tanker,Piautos
hrwsvw,17-05-1874,United Kingdom (UK),Bulk Carrier,Sadr
katomy,28-01-1618,Korea,Bulk Carrier,Aspidiske
giqepb,02-09-1698,Vietnam,Crude Oil Tanker,Misam
xuyemd,04-08-1991,Nicaragua,Bulk Carrier,Veritate
sfxfir,04-10-1788,Estonia,Bulk Carrier,Alioth
bzruge,06-02-1791,United Kingdom (UK),Bulk Carrier,Ankaa
ahwhdf,09-01-1854,Iceland,Crude Oil Tanker,Mirach
ezakjo,31-01-1518,Argentina,Bulk Carrier,Hadar
pdmkib,28-09-1803,Canada,Bulk Carrier,Aldhibah
pxrpkq,25-06-1525,Netherlands,Container Ship,Scheat
iuyxee,15-05-1808,United Kingdom (UK),Container Ship,Fumalsamakah
bekqwc,16-08-1910,United States (USA),Container Ship,Veritate
yliydx,10-02-1608,France,Container Ship,Meridiana
xlqzzl,30-07-1967,Canada,Container Ship,Almach
wjvzzc,22-10-1872,United States (USA),Bulk Carrier,Keid
occmrt,26-06-2000,Norway,Crude Oil Tanker,Enif
djjsfa,12-09-1520,United Kingdom (UK),Container Ship,Kraz
uqdzga,09-04-1653,Canada,Crude Oil Tanker,Rigil Kentaurus
dszubm,11-05-2006,India,Passenger (Cruise) Ship,Alrescha
vrufey,09-12-1725,Japan,Container Ship,Aldhanab
jfbnoy,09-05-1670,Mexico,Bulk Carrier,Unukalhai
pefyfs,23-07-1713,Italy,Bulk Carrier,Furud
bhaexm,16-07-1665,Japan,Bulk Carrier,Tianguan
fqljdz,26-06-1718,United States (USA),Container Ship,Alrescha
pqhygr,05-02-1572,United Kingdom (UK),Container Ship,Barnard’s Star
xjqcjk,20-04-1920,United Kingdom (UK),Container Ship,Barnard’s Star
hbigsn,01-08-1989,Faeroe Islands,Bulk Carrier,Imai
gfbsmg,03-03-1568,Canada,Container Ship,Keid
xzmgwc,04-06-1675,Iran,Bulk Carrier,Kitalpha
jcxvfu,06-03-1990,Japan,Passenger (Cruise) Ship,Copernicus
dtomex,18-08-1663,Canada,Bulk Carrier,Sadr
kiadaj,24-07-2002,United States (USA),Container Ship,Dubhe
wcqyod,05-05-1987,Libya,Container Ship,Ascella
eydgwh,23-11-1691,United Arab Emirates (UAE),LNG Tanker,Markab
nrqxuy,19-10-1778,Japan,LNG Tanker,Ukdah
bgnyvk,24-03-1803,Sweden,Bulk Carrier,Elgafar
izinmm,29-10-1566,Japan,Container Ship,Polaris
dfqgdl,07-04-1776,United States (USA),Bulk Carrier,Polis
rqqggv,10-09-1679,Brazil,LNG Tanker,Sceptrum
punxgj,21-09-1667,Japan,Bulk Carrier,Atik
jxcuyb,03-10-1669,Aruba,Container Ship,Kurhah
ozrbry,23-05-1654,Bulgaria,LNG Tanker,Arneb
iiqcfv,08-06-1524,Denmark,Crude Oil Tanker,Asellus Australis
pltuvt,29-11-1722,Norway,Container Ship,Wurren
fzcohu,23-06-1710,Norway,LNG Tanker,Pipirima
sdptfk,19-09-1929,Sweden,Crude Oil Tanker,Ran
zofakg,05-01-1875,India,Bulk Carrier,Hadar
ncirwn,12-10-1613,Japan,Container Ship,Asellus Borealis
ygrpym,04-06-1783,Libya,FSO,Kaus Australis
tmwimo,07-12-1972,Sweden,Bulk Carrier,Alderamin
ivzitx,10-03-1504,Norway,Container Ship,Paikauhale
mpkrqg,21-10-1644,United States (USA),Crude Oil Tanker,Prima Hyadum
rwbqqz,04-10-1652,Chile,Passenger (Cruise) Ship,Peacock
txkovh,02-09-1779,Mexico,Container Ship,Chertan
asniws,30-09-1790,Indonesia,Crude Oil Tanker,Rukbat
ezcaub,18-11-1888,Fiji,Container Ship,Wurren
eigjoa,06-11-1924,Fiji,Bulk Carrier,Cor Caroli
paaqqf,22-06-1659,Iceland,Passenger (Cruise) Ship,Marfik
egedux,19-06-1593,Madagascar,Bulk Carrier,Zosma
jxtlfc,01-06-1891,United Kingdom (UK),Crude Oil Tanker,Giausar
wqofwu,30-11-1612,Italy,Container Ship,Arcturus
hqtatu,25-01-1790,Japan,Bulk Carrier,Merope
nbmjze,07-11-1583,Turkey,Crude Oil Tanker,Alshat
xjqcjk,05-09-1682,Japan,LNG Tanker,Aljanah
glcrkb,07-03-1948,Turkey,Bulk Carrier,Denebola
zansza,15-08-1946,Fiji,LNG Tanker,Alioth
jeaiun,24-09-1816,United States (USA),Passenger (Cruise) Ship,Giausar
zmldqe,03-01-1999,United States (USA),Container Ship,Celaeno
atuhya,09-04-1567,Netherlands,Container Ship,Eltanin
liyuih,18-02-1647,Slovenia,Container Ship,Tabit
ixlbdk,16-07-1670,United Kingdom (UK),Bulk Carrier,Kitalpha
eacogt,02-03-1614,Chile,Container Ship,Minchir
zxuxlm,30-06-1862,United States (USA),Bulk Carrier,Mothallah
srtqcg,21-11-1684,St Vincent & Grenadines,LNG Tanker,Minchir
oilgqy,06-06-1644,India,LNG Tanker,Proxima Centauri
vjuyqy,22-09-1956,United Kingdom (UK),Bulk Carrier,Celaeno
wmikys,04-10-1872,Netherlands,Bulk Carrier,Skat
vkejhi,10-06-1864,Finland,Crude Oil Tanker,Elgafar
mgfvfw,30-03-1957,Australia,LNG Tanker,Atik
ownhic,02-05-1672,United States (USA),Bulk Carrier,Adhara
jsclqw,25-09-1784,Philippines,Crude Oil Tanker,Elkurud
zcezms,27-06-1859,Japan,Bulk Carrier,Castor
aepgge,23-08-1997,United Kingdom (UK),Container Ship,Larawag
lupdog,07-06-1618,Canada,Bulk Carrier,Seginus
nmujds,18-08-1767,Germany,Crude Oil Tanker,Muphrid
jqpecc,24-04-1849,Sweden,LNG Tanker,Alsephina
tlkfiz,06-08-1816,Netherlands,Bulk Carrier,Propus
svbmqr,26-02-1504,Greece,Bulk Carrier,Acamar
hllqls,21-09-1739,United States (USA),Bulk Carrier,Tianguan
okpthm,28-12-1504,Philippines,Container Ship,Procyon
nvcceh,07-05-1587,Belgium,Container Ship,Sadr
jjbezn,24-03-1606,Cuba,Crude Oil Tanker,Castula
inqkce,05-08-1840,United Kingdom (UK),Crude Oil Tanker,Fuyue
kqeuln,12-12-1655,Japan,Bulk Carrier,Aldhanab
tnbxol,29-04-1849,Madagascar,Bulk Carrier,Elkurud
qayxzm,05-12-1928,Portugal,Bulk Carrier,Alsafi
gnrbjp,11-02-1547,India,Bulk Carrier,Mothallah
lsnwcf,21-03-1752,Japan,Container Ship,Wazn
qiofqn,02-11-1745,Germany,Bulk Carrier,Algenib
kvlmek,05-05-1625,United Kingdom (UK),Crude Oil Tanker,Marfik
kqfbza,26-01-1657,United Kingdom (UK),Passenger (Cruise) Ship,Gienah
vfring,23-04-1882,Japan,Crude Oil Tanker,Sadalmelik
pcmlso,08-02-1796,Australia,Container Ship,Lilii Borea
owckzt,06-12-1890,Canada,Crude Oil Tanker,Chamukuy
seinau,26-12-1648,Japan,Crude Oil Tanker,Alcyone
buhyye,08-08-1973,Argentina,Bulk Carrier,Cursa
rjucil,02-09-1698,Italy,LNG Tanker,Vindemiatrix
ksyabj,01-01-2005,France,Crude Oil Tanker,Alzirr
lugrtc,11-03-1722,Canada,Container Ship,Enif
qyygfd,05-04-1654,Norway,FSO,Alkarab
nvpbsl,10-02-1676,United Kingdom (UK),Bulk Carrier,Zubenelhakrabi
yqcxxn,22-02-1838,Nauru,Bulk Carrier,Alkaid
nmlyru,03-02-1843,Greece,LNG Tanker,Pipirima
fqqtje,27-12-1830,China,Bulk Carrier,Ain
hzkxue,25-03-1975,Papua New Guinea,Bulk Carrier,Alkarab
votlvy,18-02-1579,United States (USA),Container Ship,Mothallah
shoslw,18-10-1738,Japan,Bulk Carrier,Denebola
cdlfun,27-08-1901,United Kingdom (UK),Container Ship,Pherkad
osdyfg,02-08-1604,Mexico,Crude Oil Tanker,Porrima
wnyctv,04-12-1847,Tunisia,Bulk Carrier,Gienah
hsrdkc,07-06-1655,Togolese Rep,Bulk Carrier,Kang
xihhaw,06-09-1816,Japan,Bulk Carrier,Megrez
umpbzg,05-10-2004,Portugal,Container Ship,Secunda Hyadum
ujgbct,23-10-1902,Canada,FSO,Tania Borealis
ihetbu,08-03-1620,Italy,Passenger (Cruise) Ship,Seginus
lgoxjr,29-01-1610,Indonesia,Container Ship,Izar
umrwyi,22-12-1500,Norway,Container Ship,Titawin
qqxgju,02-09-1698,Montenegro,LNG Tanker,Zosma
xunqom,01-11-1668,Japan,Bulk Carrier,Markeb
rbjpjw,20-11-1908,Canada,Bulk Carrier,Megrez
ikddef,04-07-1663,Germany,Container Ship,Tarf
fyuwpi,07-01-1989,Spain,Bulk Carrier,Errai
brhgdj,26-08-1914,Argentina,Container Ship,Kaus Borealis
zojkns,12-07-1548,United States (USA),Bulk Carrier,Jishui
pwakwo,20-02-1999,Argentina,Container Ship,Secunda Hyadum
ajuvqu,29-12-1819,Norway,Crude Oil Tanker,Tegmine
tktjzr,07-01-1617,Equatorial Guinea,Crude Oil Tanker,Zubeneschamali
sbmxvm,25-12-1576,Faeroe Islands,FSO,Ain
pugghh,14-01-1614,Portugal,Crude Oil Tanker,Algenib
lsleqe,17-09-1662,Japan,LNG Tanker,Kraz
jpmbpf,02-02-1619,Turkey,Container Ship,Hassaleh
niegnl,11-04-1730,United Kingdom (UK),Crude Oil Tanker,Betelgeuse
yjolmv,25-11-1875,France,Bulk Carrier,Merak
ukztyt,17-07-1503,United Kingdom (UK),LNG Tanker,Homam
zzxdyq,20-06-1700,Japan,Container Ship,Aldebaran
dhmkhc,07-06-1546,US Minor Outlying Isls,Container Ship,La Superba
pefyfs,24-11-1580,United States (USA),Container Ship,Ankaa
sitmyg,08-01-1879,Greece,FSO,Castor
rifutn,26-07-1730,United States (USA),Bulk Carrier,Zaniah
mfujgw,08-02-1560,Japan,Bulk Carrier,Alula Australis
sdptfk,03-10-1635,Turkmenistan,Bulk Carrier,Elnath
wsgdhf,23-04-1729,Sweden,FSO,Alcyone
fucyxd,30-06-1822,Canada,Bulk Carrier,Xamidimura
vlpfjq,22-09-1942,Sweden,Bulk Carrier,Asterope
wiqovk,31-03-1917,United Kingdom (UK),Bulk Carrier,Revati
mdpjcp,07-05-1951,United Kingdom (UK),LNG Tanker,Chara
xyqetv,17-04-1635,United Kingdom (UK),Crude Oil Tanker,Merope
ekokec,01-05-1753,Argentina,Bulk Carrier,Atlas
ztrozj,17-02-1790,United Kingdom (UK),Passenger (Cruise) Ship,Achernar
omnqln,05-10-1879,United States (USA),Container Ship,Dalim
kmqyjn,01-01-1796,Fiji,Bulk Carrier,Minchir
gtoscg,10-09-1884,Norway,Bulk Carrier,Kurhah
ksznwv,22-11-1895,Malaysia,Bulk Carrier,Nashira
oxdvvc,05-05-1981,United States (USA),Container Ship,Zibal
lknqgn,31-01-1877,Sweden,LNG Tanker,Heze
hgilvk,14-04-1835,Canada,Crude Oil Tanker,Tania Borealis
iafvaz,11-09-1988,China,Container Ship,Alkaphrah
tgtvxg,09-09-1629,Germany,LNG Tanker,Barnard’s Star
enhjsu,02-07-1756,Canada,Bulk Carrier,Cervantes
kbqcog,24-07-2002,Italy,Container Ship,Dschubba
sjlago,03-04-1602,China,Bulk Carrier,Elgafar
ashquc,03-10-1862,Egypt,Bulk Carrier,La Superba
yhtryc,12-03-1842,United States (USA),Bulk Carrier,Sceptrum
oduzhf,08-02-1560,Japan,Bulk Carrier,Bunda
ovbylv,18-03-1744,Argentina,Container Ship,Celaeno
royrvy,15-01-1506,United States (USA),Bulk Carrier,Haedus
tuhtxu,27-12-1504,Japan,Bulk Carrier,Castor
pbbxfw,24-12-1523,Canada,Container Ship,Mimosa
rfoodm,12-06-1596,Chile,Bulk Carrier,Aldulfin
emnsco,03-05-1925,United Kingdom (UK),Container Ship,Dziban
opdcua,02-04-1751,Netherlands,LNG Tanker,Guniibuu
bgacvc,29-05-1867,Germany,Container Ship,Spica
cbbgzb,29-04-1987,Japan,Bulk Carrier,Rasalgethi
ofojox,20-08-2004,Turkey,Passenger (Cruise) Ship,Kaus Borealis
bnaywf,03-03-1931,Canada,Container Ship,Phecda
bfdpyu,25-04-1943,Estonia,Container Ship,Mirach
qtapyo,25-04-1788,Japan,Bulk Carrier,Acrab
neqhmu,05-08-1766,Greece,Bulk Carrier,Avior
qicmah,21-09-1722,Canada,Crude Oil Tanker,Alpheratz
zrirys,28-02-1931,China,Bulk Carrier,Caph
wyxlju,16-09-1725,United States (USA),Container Ship,Chara
nilujd,12-05-1731,Italy,Passenger (Cruise) Ship,Sadalmelik
hsxiel,06-05-1813,South Africa,Crude Oil Tanker,Mirzam
itdwzy,08-06-1849,Japan,Crude Oil Tanker,Ainalrami
pbjbxo,14-02-1756,Estonia,Container Ship,Segin
mzuhbe,05-06-1534,United States (USA),Bulk Carrier,Toliman
xdmxvn,19-10-1865,France,Bulk Carrier,Celaeno
jevtss,12-06-1823,United States (USA),Passenger (Cruise) Ship,Helvetios
qvfbbx,20-11-1683,Canada,Bulk Carrier,Alkalurops
kttzdj,28-08-1825,Brazil,Container Ship,Fomalhaut
fvdzti,02-01-1868,Guadeloupe,Bulk Carrier,Tianyi
fnrqlz,24-05-1942,Estonia,Crude Oil Tanker,Menkalinan
rcklxt,12-09-1520,Canada,Container Ship,Scheat
ujazdf,13-03-1795,Norway,LNG Tanker,Ain
nnmdti,18-07-1858,Canada,Bulk Carrier,Eltanin
wwdgle,27-08-1884,Canada,Passenger (Cruise) Ship,Maasym
dfhogh,26-06-1800,United States (USA),Bulk Carrier,Alula Borealis
endpxo,25-06-1998,Croatia,Bulk Carrier,Mebsuta
jndeaj,29-07-1865,Panama,Container Ship,Saclateni
btibem,14-02-1647,Croatia,Crude Oil Tanker,Alula Australis
cwofcb,10-10-1733,Egypt,Bulk Carrier,Ashlesha
wfiegj,15-09-1538,Spain,LNG Tanker,Praecipua
oahcku,21-02-1932,United Kingdom (UK),LNG Tanker,Alsciaukat
fzduzw,26-06-1824,Germany,Passenger (Cruise) Ship,Menkib
wmermp,02-06-1602,United States (USA),Container Ship,Propus
hwrqrg,24-07-2010,Poland,Container Ship,Nunki
kkkucp,01-08-1972,Norway,Bulk Carrier,Kurhah
yjdfwb,17-04-1641,Slovenia,Container Ship,Piautos
dmdppg,05-10-1600,Bahamas,Bulk Carrier,Eltanin
omxhde,04-08-1620,India,Bulk Carrier,Helvetios
zbmtyb,08-03-1820,United States (USA),LNG Tanker,Cursa
wowkfk,14-05-1941,Isle of Man,Bulk Carrier,Scheat
vwsenn,07-04-1601,St Vincent & Grenadines,Bulk Carrier,Rastaban
oeftal,21-08-1778,Brazil,Bulk Carrier,Zaurak
arhndt,21-10-1970,Canada,Crude Oil Tanker,Algorab
fqljdz,27-08-1868,Croatia,Bulk Carrier,Alkarab
wxuknt,21-02-1932,Germany,Bulk Carrier,Alniyat
yaqfvg,04-12-1640,Montenegro,LNG Tanker,Eltanin
ueptdr,07-05-1688,Japan,LNG Tanker,Arcturus
iggzkz,07-03-1948,United States (USA),Crude Oil Tanker,Toliman
mavwhy,27-10-1998,Portugal,Crude Oil Tanker,Tarazed
wsfjsg,03-10-1909,Canada,Container Ship,Pherkad
sueinn,28-06-1958,Japan,Container Ship,Lesath
lpirbf,15-07-1732,Sweden,LNG Tanker,Sualocin
okihgy,02-04-1815,Italy,Bulk Carrier,Fang
gfwmje,24-10-1857,Belgium,LNG Tanker,Rotanev
xpxddl,10-04-1752,Sweden,Container Ship,Hatysa
hwvgoz,22-04-1628,United Kingdom (UK),LNG Tanker,Wurren
psakid,27-10-1876,Norway,Container Ship,Kraz
sooqms,10-12-1639,Papua New Guinea,Crude Oil Tanker,Atik
pxknzy,22-12-1861,United States (USA),Bulk Carrier,Sheratan
ezcaub,18-09-1955,Finland,LNG Tanker,Elnath
ydlzma,12-07-1994,Turkey,Container Ship,Fawaris
pcwtxl,16-06-1965,United Kingdom (UK),Bulk Carrier,Alphard
zqdiia,14-04-1586,Turkey,Bulk Carrier,Tonatiuh
jejztp,23-11-1905,Indonesia,Crude Oil Tanker,Tureis
xngeqm,25-09-1680,Qatar,Bulk Carrier,Segin
yqucyz,29-08-1820,Greece,LNG Tanker,Markab
jcctsd,05-01-1928,Kuwait,FSO,Aladfar
eydncd,13-09-1537,France,LNG Tanker,Wezen
pmxccc,19-08-1519,United States (USA),Container Ship,Albaldah
ecownn,21-12-1515,Spain,LNG Tanker,Alnasl
lwvxut,15-06-1812,Egypt,LNG Tanker,Adhafera
sddvhf,22-09-1993,Estonia,Crude Oil Tanker,Sadalmelik
qivyey,21-07-1972,Netherlands,LNG Tanker,Tegmine
scbwmy,20-07-1692,United Kingdom (UK),Container Ship,Alshat
qlmlmf,16-05-1561,Iran,Crude Oil Tanker,Anser
jaihrs,08-04-1965,United States (USA),Container Ship,Algieba
tfksty,14-02-1825,Japan,Bulk Carrier,Gacrux
tjzgdg,09-03-1976,United States (USA),Crude Oil Tanker,Aladfar
xavkyh,04-11-1720,Egypt,LNG Tanker,Larawag
kxtolk,22-11-1979,Sweden,Bulk Carrier,Grumium
ffyocu,27-11-1700,Spain,Container Ship,Wazn
vnmtid,22-05-1839,Egypt,Bulk Carrier,Mirzam
yjolmv,27-01-1685,Bulgaria,Container Ship,Matar
albyzl,17-09-1995,United States (USA),Bulk Carrier,Castula
frcfmd,07-01-1721,Canada,Crude Oil Tanker,Polaris Australis
wedaxm,28-02-1682,India,Container Ship,Lesath
mdkhug,17-03-1991,France,Bulk Carrier,Talitha
rxcvic,17-11-1643,Isle of Man,Crude Oil Tanker,Mebsuta
xpkxwm,29-07-1509,Chile,Crude Oil Tanker,Tarf
pvdwty,02-07-1971,Canada,Crude Oil Tanker,Suhail
vcbbso,08-03-1679,United States (USA),Bulk Carrier,Marfik
fdgetx,29-02-2000,Portugal,LNG Tanker,Alkaphrah
qcspdy,03-04-1553,Norway,LNG Tanker,Nihal
dbmrxl,13-11-1772,Canada,Passenger (Cruise) Ship,Ainalrami
wkkzzb,21-04-1560,Norway,Container Ship,Prima Hyadum
puhijn,12-07-1574,Dominican Rep,Bulk Carrier,Intercrus
hvgsnd,11-06-1655,Australia,Bulk Carrier,Toliman
biagcy,04-06-1675,Chile,Passenger (Cruise) Ship,Taygeta
fdaqvz,10-02-1729,Spain,Container Ship,Cervantes
dgkozr,10-07-1768,Japan,Crude Oil Tanker,La Superba
ccrisw,11-03-1714,Greece,Container Ship,Pipirima
eweeuj,12-10-1798,Belgium,Bulk Carrier,Algieba
vfyaqx,14-07-1945,Argentina,Crude Oil Tanker,Yed Posterior
zzxlgf,21-09-1682,India,Container Ship,Saiph
nehwhy,22-05-1637,Croatia,Passenger (Cruise) Ship,Matar
otxbfb,28-01-1502,Japan,Container Ship,Giausar
omeuwx,11-05-1839,Denmark,Container Ship,Rigel
ywqxfx,06-09-1674,Estonia,Bulk Carrier,Merak
dgejjq,14-03-1707,United Kingdom (UK),Bulk Carrier,Guniibuu
gwfjmu,10-10-1873,Iran,LNG Tanker,Eltanin
flaoge,11-11-1661,United Kingdom (UK),Passenger (Cruise) Ship,Sham
izchgu,23-08-1997,Iceland,Container Ship,Alkes
cqsnji,24-03-1768,United States (USA),Container Ship,Syrma
lbnhlb,20-06-1748,Iran,LNG Tanker,Chamukuy
wbistw,25-12-1577,Thailand,Passenger (Cruise) Ship,Kaus Borealis
bdoept,08-11-1588,Japan,Container Ship,Elgafar
whctgs,17-01-1678,Angola,Container Ship,Alsafi
xmpcjz,08-10-1726,Norway,Bulk Carrier,Hamal
pcfzkv,23-08-1964,United Kingdom (UK),Passenger (Cruise) Ship,Sham
